实时定位,设备号,方向,ID,定位时间,实时地址,速度,
119.708206，29.814104,866551032746799,291,5f35ddf85bd7ea21b52d1ff2,1597229548,浙*************号,20,
119.708206，29.814104,866551032746799,291,5f35de575bd7ea21ad434902,1597229548,浙*************号,20,
119.708206，29.814104,866551032746799,291,5f35e2bf5bd7ea281a3fe3b2,1597229548,浙*************号,20,
119.708206，29.814104,866551032746799,291,5f35e2e35bd7ea281009a382,1597229548,浙*************号,20,
119.708206，29.814104,866551032746799,291,5f35e7455bd7ea2dfd038e72,1597229548,浙*************号,20,
119.686691，29.794945,868035047227578,129,5f35e8725bd7ea2e161a8e42,1597227148,浙***************号,32,
119.703178，29.812126,868035047227576,243,5f35e8955bd7ea2dff1ecf62,1597227577,浙***************号,22,
119.703178，29.812126,868035047227576,243,5f35eba35bd7ea345b0d3732,1597227577,浙***************号,22,
119.667809，29.800894,868035047006665,286,5f35eba45bd7ea346a400572,1597228504,浙*************1,17,
119.708206，29.814104,866551032746799,291,5f35ec025bd7ea345b0d3733,1597229548,浙*************号,20,
119.708206，29.814104,866551032746799,291,5f35ef165bd7ea345b0d3734,1597229548,浙*************号,20,
119.708092，29.814116,866551032746799,279,5f35ef405bd7ea34631a2de2,1597229550,浙*************号,19,
119.686691，29.794945,868035047227578,129,5f35ef425bd7ea34531cb6a2,1597227148,浙***************号,32,
119.686691，29.794945,868035047227578,129,5f35ef9a5bd7ea345f7ff0c2,1597227148,浙***************号,32,
119.689201，29.795078,868035047226074,200,5f35efc05bd7ea34631a2de3,1597228088,浙**************号,15,
119.66581，29.803886,868035047202079,0,5f35f20d5bd7ea3a994846c2,1597229549,浙*************7,0,
119.686691，29.794945,868035047227578,129,5f35f26e5bd7ea3a9014d022,1597227148,浙***************号,32,
119.686691，29.794945,868035047227578,129,5f35f4cc5bd7ea3a8f3df652,1597227148,浙***************号,32,
119.703178，29.812126,868035047227576,243,5f35f5475bd7ea40c47e9492,1597227577,浙***************号,22,
119.703178，29.812126,868035047227576,243,5f35f7c45bd7ea40de07e142,1597227577,浙***************号,22,
119.707939，29.814089,866551032746799,252,5f35fa665bd7ea47a82579c2,1597229552,浙*************号,26,
119.689201，29.79508,868035047226074,200,5f35fa665bd7ea47a95129d2,1597228089,浙**************号,0,
119.707939，29.814089,866551032746799,252,5f35fa845bd7ea47bd59cf22,1597229552,浙*************号,26,
119.707939，29.814089,866551032746799,252,5f35fd205bd7ea47a66e1802,1597229554,浙*************号,0,
119.707939，29.814089,866551032746799,252,5f35fd395bd7ea47b8018b22,1597229554,浙*************号,0,
119.686691，29.794945,868035047227578,129,5f35fd5f5bd7ea47a82579c3,1597227148,浙***************号,32,
119.703178，29.812126,868035047227576,243,5f3601825bd7ea4eb568f5b2,1597227577,浙***************号,22,
119.683456，29.795778,868035047202107,51,5f3601835bd7ea4ea6285f32,1597229848,浙**************号,18,
119.707939，29.814089,866551032746799,252,5f360cec5bd7ea6247690e12,1597229554,浙*************号,0,
119.667809，29.800894,868035047006665,286,5f3611755bd7ea69b337d4c2,1597228504,浙*************1,17,
119.686691，29.794945,868035047227578,129,5f3611945bd7ea69b90022b2,1597227148,浙***************号,32,
119.689201，29.79508,868035047226074,200,5f3612a05bd7ea69b27e1772,1597228089,浙**************号,0,
119.707939，29.814089,866551032746799,252,5f3612bd5bd7ea69cc34e832,1597229554,浙*************号,0,
119.686691，29.794945,868035047227578,129,5f3616585bd7ea6fa57e4342,1597227148,浙***************号,32,
119.707939，29.814089,866551032746799,252,5f361b165bd7ea75936cd1a2,1597229554,浙*************号,0,
119.707939，29.814089,866551032746799,252,5f361e105bd7ea75a8359ba2,1597229554,浙*************号,0,
119.707939，29.814089,866551032746799,252,5f361f7c5bd7ea7b456d8d12,1597229554,浙*************号,0,
119.683456，29.795778,868035047202107,51,5f361f7e5bd7ea7b4638ee02,1597229848,浙**************号,18,
119.671303，29.784664,868035047199589,290,5f3623fd5bd7ea01fa70d922,1597229556,浙**********路,28,
119.671303，29.784664,868035047199589,290,5f36241e5bd7ea01f972c452,1597229556,浙**********路,28,
119.703178，29.812126,868035047227576,243,5f3625cd5bd7ea01ff14a282,1597227577,浙***************号,22,
119.671303，29.784664,868035047199589,290,5f3626235bd7ea020828d0f2,1597229556,浙**********路,28,
119.686691，29.794945,868035047227578,129,5f3626265bd7ea01f8173752,1597227148,浙***************号,32,
119.683456，29.795778,868035047202107,51,5f3628e25bd7ea409d010d32,1597229848,浙**************号,18,
119.671303，29.784664,868035047199589,290,5f3629025bd7ea40932bcf12,1597229556,浙**********路,28,
119.683456，29.795778,868035047202107,51,5f362b1b5bd7ea40925ff8b2,1597229848,浙**************号,18,
119.710991，29.787823,866551032797602,164,5f362c365bd7ea40947b9962,1597228251,浙**********路,14,
119.686691，29.794945,868035047227578,129,5f362cce5bd7ea408a7b0ee2,1597227148,浙***************号,32,
119.671303，29.784664,868035047199589,290,5f362da75bd7ea1ae1726592,1597229556,浙**********路,28,
119.686691，29.794945,868035047227578,129,5f3632875bd7ea71a76e75d2,1597227148,浙***************号,32,
119.686691，29.794945,868035047227578,129,5f3636ed5bd7ea4afd714542,1597227148,浙***************号,32,
119.671303，29.784664,868035047199589,290,5f36370f5bd7ea4b08693b12,1597229556,浙**********路,28,
119.671303，29.784664,868035047199589,290,5f363bf15bd7ea24b21c5fd2,1597229556,浙**********路,28,
119.672508，29.80978,868035047230883,255,5f3640195bd7ea7cdc56dd12,1597229750,浙**************号,24,
119.703178，29.812126,868035047227576,243,5f3641de5bd7ea7ce44188c2,1597227577,浙***************号,22,
119.671303，29.784664,868035047199589,290,5f3641f85bd7ea7cd819a052,1597229556,浙**********路,28,
119.671303，29.784664,868035047199589,290,5f3645315bd7ea5779046dc2,1597229556,浙**********路,28,
119.671303，29.784664,868035047199589,290,5f3645cb5bd7ea5780218702,1597229556,浙**********路,28,
119.703178，29.812126,868035047227576,243,5f364a8a5bd7ea32a70253f2,1597227577,浙***************号,22,
119.683456，29.795778,868035047202107,51,5f364a8c5bd7ea32b5189632,1597229848,浙**************号,18,
119.686691，29.794945,868035047227578,129,5f364d4b5bd7ea32ad6db2d2,1597227148,浙***************号,32,
119.667809，29.800894,868035047006665,286,5f364e605bd7ea0b832719a2,1597228504,浙*************1,17,
119.671303，29.784664,868035047199589,290,5f3651bf5bd7ea0b9f31fe22,1597229556,浙**********路,28,
119.667809，29.800894,868035047006665,286,5f3651f25bd7ea0b9669f592,1597228504,浙*************1,17,
119.672508，29.80978,868035047230883,255,5f3652e55bd7ea63b7757be2,1597229750,浙**************号,24,
119.686691，29.794945,868035047227578,129,5f36535f5bd7ea63c3619322,1597227148,浙***************号,32,
119.683456，29.795778,868035047202107,51,5f3653be5bd7ea63c3619323,1597229848,浙**************号,18,
119.686691，29.794945,868035047227578,129,5f3653fd5bd7ea63bd0cf5d2,1597227148,浙***************号,32,
119.707794，29.814028,866551032746799,245,5f3656425bd7ea63bc2acc72,1597229554,浙*************号,28,
119.652367，29.760244,866551032797198,282,5f365de45bd7ea180041c4a2,1597227098,浙****************),20,
119.707794，29.814028,866551032746799,245,5f3666135bd7ea15a8273ca2,1597229554,浙*************号,28,
119.702805，29.812,868035047227576,249,5f366a7f5bd7ea1b51567322,1597227581,浙**************8,30,
119.707794，29.814028,866551032746799,245,5f366a855bd7ea1b3506ae62,1597229554,浙*************号,28,
119.66581，29.803888,868035047202079,0,5f366d3b5bd7ea1b3506ae63,1597229557,浙*************7,0,
119.683456，29.795778,868035047202107,51,5f366eed5bd7ea20e07b14b2,1597229848,浙**************号,18,
119.683548，29.795849,868035047202107,46,5f366eed5bd7ea20e07b14b3,1597229850,浙**************号,16,
119.683548，29.795851,868035047202107,46,5f366eee5bd7ea20e07b14b4,1597229852,浙**************号,0,
119.683601，29.795908,868035047202107,36,5f366eee5bd7ea20e07b14b5,1597229852,浙***********路,11,
119.684784，29.80521,868035047225587,47,5f366eee5bd7ea20e07b14b6,1597229856,浙**********路,17,
119.682487，29.795383,868035047198357,144,5f366eee5bd7ea20e07b14b7,1597229869,浙**************号,12,
119.683609，29.795908,868035047202107,36,5f366eef5bd7ea20e07b14b8,1597229874,浙***********路,0,
119.683998，29.795904,868035047202107,47,5f366eef5bd7ea20e07b14b9,1597229880,浙***************号,12,
119.684784，29.805212,868035047225587,47,5f366eef5bd7ea20e07b14ba,1597229869,浙**********路,0,
119.685516，29.805796,868035047225587,51,5f366eef5bd7ea20e07b14bb,1597229874,浙**********路,22,
119.685516，29.805796,868035047225587,51,5f366ef05bd7ea20e07b14bc,1597229877,浙**********路,0,
119.685837，29.80595,868035047225587,92,5f366ef05bd7ea20e07b14bd,1597229880,浙**********路,21,
119.685959，29.80592,868035047225587,108,5f366ef05bd7ea20e07b14be,1597229882,浙**********路,24,
119.686256，29.805853,868035047225587,102,5f366ef05bd7ea20e07b14bf,1597229886,浙**********路,26,
119.686401，29.805853,868035047225587,91,5f366ef05bd7ea20e07b14c0,1597229888,浙**********路,23,
119.684212，29.796122,868035047202107,38,5f366ef15bd7ea20e07b14c1,1597229886,浙***************号,18,
119.686401，29.805853,868035047225587,91,5f366ef15bd7ea20e07b14c2,1597229891,浙**********路,0,
119.686615，29.805876,868035047225587,80,5f366ef15bd7ea20e07b14c3,1597229892,浙**********路,13,
119.684212，29.796122,868035047202107,38,5f366ef15bd7ea20e07b14c4,1597229894,浙***************号,0,
119.684479，29.79645,868035047202107,71,5f366ef15bd7ea20e07b14c5,1597229896,浙***************号,12,
119.686623，29.805925,868035047225587,264,5f366ef25bd7ea20e07b14c6,1597229898,浙**********路,8,
119.684578，29.796495,868035047202107,83,5f366ef25bd7ea20e07b14c7,1597229900,浙***************号,6,
119.684624，29.796511,868035047202107,95,5f366ef25bd7ea20e07b14c8,1597229902,浙***************号,13,
119.682487，29.795385,868035047198357,144,5f366ef25bd7ea20e07b14c9,1597229904,浙**************号,0,
119.684746，29.796482,868035047202107,121,5f366ef25bd7ea20e07b14ca,1597229904,浙***************号,20,
119.684982，29.796337,868035047202107,130,5f366ef35bd7ea20e07b14cb,1597229908,浙***************号,27,
119.685219，29.796139,868035047202107,136,5f366ef35bd7ea20e07b14cc,1597229912,浙***************号,28,
119.682587，29.7953,868035047198357,73,5f366ef35bd7ea20e07b14cd,1597229913,浙**************号,6,
119.682579，29.795343,868035047198357,351,5f366ef35bd7ea20e07b14ce,1597229915,浙**************号,10,
119.685219，29.796141,868035047202107,136,5f366ef35bd7ea20e07b14cf,1597229915,浙***************号,0,
119.685471，29.795925,868035047202107,127,5f366ef45bd7ea20e07b14d0,1597229916,浙***************号,30,
119.682541，29.795397,868035047198357,316,5f366ef45bd7ea20e07b14d1,1597229917,浙**************号,14,
119.682541，29.795397,868035047198357,316,5f366ef45bd7ea20e07b14d2,1597229926,浙**************号,0,
119.68618，29.795406,868035047202107,129,5f366ef55bd7ea20e07b14d3,1597229926,浙***************号,32,
119.686813，29.794878,868035047202107,129,5f366ef55bd7ea20e07b14d4,1597229936,浙******************7,23,
119.686813，29.79488,868035047202107,129,5f366ef55bd7ea20e07b14d5,1597229936,浙******************7,0,
